Sample identifier,Sample Name,formation,minerology,composite height,d13C ,d18O,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,rsRep 1 Wheel #,rsRep 1 date,rsRep1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 88/86,rsRep 2 internal precision,,,,ssSample mass for analysis,ssSpike mass for analysis,,Wheel #,Date run on TIMS,88/86Sr,Internal Precision,,Rep 1 Wheel #,ssRep 1 date,ssRep 1 ,ssRep 1 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,Sr ppm,Ca ppm,Mg ppm,Mn ppm,SrCa (ppm/ppm),Mn/Sr (ppm/ppm),d44 higgins,Primary minerology,Sr/Ca (mmol/mol),Mg/Ca (mmol/mol),Mn/Ca (μmol/mol),Mn/Sr (mmol/mmol),Mountain composite height
MDS 181.5,SO14,Shuram/Buah,Calcite,759.90,-7.94,-7.48,,,W978,6/14/21,0.22294,0.70906,7.00E-06,,,,,,,,,,,,0.23461,0.60017,,W1023.1,1/31/22,0.353,0.00855,,,,,,,0.03315,0.57902,,,,,(OUT),,,,,,585.068,2889.36,63.22,6.083,0.202,0.0104,,Primary Aragonite,,,,,
MDS 200.8,SO15,Shuram/Buah,Calcite,778.30,-7.76,-7.78,12/7/20,,W941,1/5/21,0.33248,0.70930,7.00E-06,,,,,,,,,,,,0.33076,0.6096,,W1023.1,1/31/22,0.388,0.00794,,,,,,,0.03869,0.58162,,957,3/18/21,-1.048,0.022,,,,,,433.047,2317.13,30.33,6.435,0.187,0.0149,-1.1200,Primary Aragonite,,,,,
MDS 211.5,SO16,Shuram/Buah,Calcite,789.80,-7.40,-7.30,,,W970,5/24/21,0.22039,0.70881,1.00E-05,,,,,,,,,,,,0.22861,0.61247,,W976,6/11,0.379,0.00689,,W1023.1,1/31/22,0.376718,0.007045,,0.02959,0.5964,,W951,2/9/21,-1.098,0.023,,,,,,63.754,29524.04,292.76,121.570,0.002,1.9069,,Primary Aragonite,,,,,
MDS 223,SO17,Shuram/Buah,Calcite,801.30,-6.80,-6.90,,,,,5.29679,0.70885,1.00E-05,,,,,,,,,,,,0.12299,0.60341,,W974,6/4/21,,,,,,,,,0.03414,0.58577,,W953,2/24/21,-1.210,0.020,,,,,,1168.794,2554.01,61.50,17.379,0.458,0.0149,,Primary Aragonite,,,,,
MDS 228,SO18,Shuram/Buah,Calcite,806.30,-4.90,-7.30,12/7/20,,W941,1/5/21,0.02325,0.70869,6.00E-06,,,,,,,,,,,,0.02812,0.61642,,W972,6/1/21,0.219,0.00962,,W976,6/11,0.240942,0.007628,,0.03138,0.62136,,,,,(OUT),,,,,,6684.490,3042.83,33.66,4.196,2.197,0.0006,,Primary Aragonite,,,,,
MD2 45.2,SO19,Buah,Calcite,845.50,-5.88,-8.51,12/7/20,,W941,1/5/21,0.18067,0.70872,6.00E-06,,,,,,,,,,,,0.17943,0.61363,,W972,6/1/21,0.460,0.00751,,W976,6/11,0.465679,0.008023,,0.02978,0.63385,,W951,2/9/21,-1.353,0.025,,,,,,724.978,3438.35,36.29,6.306,0.211,0.0087,-1.3100,Primary Aragonite,,,,,
WS 7.7,SO20,Shuram,Calcite,518.20,-9.89,-8.48,,,W970,5/24/21,0.62943,0.70895,1.00E-05,,,,,,,,,,,,0.63065,0.59835,,W972,6/1/21,0.315,0.00743,,W976,6/11,0.303452,0.006701,,0.02985,0.61427,,W951,2/9/21,-0.882,0.019,,,,,,206.437,3200.45,40.32,8.423,0.065,0.0408,-0.9700,Primary Calcite,,,,,
WS 6.1,SO21,Shuram,Calcite,516.60,-9.80,-8.30,,,W979,6/14/21,0.7079,0.70913,6.00E-06,W979,,0.709116,0.000006,,,,,,,,0.70762,0.60947,,W974,6/4/21,0.336,0.00812,,W1021,1/24,0.32609,0.00779,,0.03045,0.58613,,W953,2/24/21,-0.883,0.018,,,,,,189.318,2944.41,37.45,8.797,0.064,0.0465,,Primary Calcite,,,,,
Upper Khufai,SO22_A,Khufai,Dolomite,339.70,1.65,-2.63,,,W978,,1.20994,0.70912,6.00E-06,,,,,,,,,,,,1.23931,0.62326,,W1021,1/24/22,0.296,0.00784,,,,,,,0.06356,0.5894,,W951,2/9/21,-0.654,0.023,,,,,,112.806,1461.51,809.92,8.914,0.077,0.0790,,Dolomite,,,,,
Upper Khufai,SO22_B,Khufai,Dolomite,339.70,1.65,-2.63,,,W979,6/14/21,1.6657,0.70856,8.00E-06,W979,,0.708566,0.000008,,,,,,,,1.64168,0.61231,,W1023.1,1/31/22,0.369,0.00748,,,,,,,0.05561,0.59194,,W951,2/9/21,-0.676,0.023,,,,,,82.851,1653.24,936.28,10.334,0.050,0.1247,,Dolomite,,,,,
Procedural Blank,PB1,,,,,,,,,,2.01949,,,,,,,,,,,,,,2.01393,0.03291,,,,,,,,,,,,0.03975,0.58049,,,,,,,,,,,,,,,,,,,,,,,
WM1 59.0,SO23,Shuram,Calcite,,-22.44,-6.91,,,W1031,2/21,0.52414,0.711376,0.000010,,,,,,,,,,,,0.53942,0.61548,,W1026,2/8/22,0.370,0.0081116,,,,,,,0.05808,0.61726,,W1001,11/18/21,-1.08112,0.02302,,,,,,262.936,1520.01,0.00,0.000,0.173,0.0000,,Primary Aragonite,,,,,134.6
WM1 35.8,SO24,Khufai,Calcite,,-1.42,-9.76,,,W1031,2/21,0.26153,0.708186,0.000010,,,,,,,,,,,,0.25929,0.59813,,W1026,2/8/22,-1.902,0.009042,,,,,,,0.07124,0.61461,,W1001,11/18/21,-1.1632,0.02359,,,,,,603.242,1153.09,604.75,164.397,0.523,0.2725,,Primary Aragonite,,,,,90.7
WM1 19.4,SO25A,Khufai,Calcite,,5.38,-9.52,,,W1031,2/21,0.16855,0.711395,0.000010,,,,,,,,,,,,0.17716,0.61747,,W1026,2/8/22,2.511,0.0074672,,,,,,,0.03418,0.61701,,W1001,11/18/21,-1.3192,0.0208,,,,,,938.691,2272.22,76.88,0.466,0.413,0.0005,,Primary Aragonite,,,,,64.2
WM1 19.4,SO25B,Khufai,Calcite,,5.38,-9.52,,,W1031,2/21,0.15239,0.708414,0.000010,,,,,,,,,,,,0.15754,0.62653,,W1026,2/8/22,0.285,0.0081339,,,,,,,0.0268,0.62111,,,,,,,,,,,877.332,3563.41,109.09,0.236,0.246,0.0003,,Primary Aragonite,,,,,64.2
WM1 3.0,SO26,Khufai,Calcite,,-4.16,-7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(OUT),,,,,,37.253,7.57,29.19,0.257,4.921,0.0069,,,,,,,5
MDE 175.3,SO27,Khufai,tbd,222.6,,,,,W1031,2/21,1.3177,0.708512,0.000010,,,,,,,,,,,,1.28246,0.61819,,W1026,2/8/22,0.306,0.0076613,,,,,,,0.04836,0.58981,,W1003_05_06_07,11/24/21,-0.498531,0.024762,,,,,,100.658,1963.82,8.77,0,0.051,0.0000,,tbd,,,,,
MDE 144.6,SO28,Khufai,tbd,191.9,,,,,W1031,2/21,3.45066,0.708336,0.000010,,,,,,,,,,,,3.455,0.60244,,W1026,2/8/22,0.326,0.0076064,,,,,,,0.05356,0.59901,,W1003_05_06_07,11/24/21,-0.663787,0.055099,,,,,,43.361,1458.83,898.46,0.245,0.030,0.0056,,tbd,,,,,
