Sample identifier,Sample Name,formation,minerology,composite height,d13C ,d18O,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,rsRep 1 Wheel #,rsRep 1 date,rsRep1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 88/86,rsRep 2 internal precision,,,,ssSample mass for analysis,ssSpike mass for analysis,,Wheel #,Date run on TIMS,88/86Sr,Internal Precision,,Rep 1 Wheel #,ssRep 1 date,ssRep 1 ,ssRep 1 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,Sr ppm,Ca ppm,Mg ppm,Mn ppm,SrCa (ppm/ppm),Mn/Sr (ppm/ppm),d44 higgins,Primary minerology,Sr/Ca (mmol/mol),Mg/Ca (mmol/mol),Mn/Ca (μmol/mol),Mn/Sr (mmol/mmol),Mountain composite height
S105914A-01,,Doushantuo,limestone,,-8.99,,,,,,,0.708926,,,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,,,,,
S105921A-01,,Doushantuo,limestone,,-8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,,,,,,
S105921B-01,,Doushantuo,limestone,,-9.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,,,,,,,
S106015-01,,Doushantuo,limestone,,-8.94,,,,,,,0.708862,,,,,,,,,,,,,,,,,,0.120,,,,,,,,,,,,,,,,,,,,,,,,,0.230,,,,,,,
S106207-01,,Doushantuo,limestone,,-8.48,,,,,,,0.709226,,,,,,,,,,,,,,,,,,0.560,,,,,,,,,,,,,,,,,,,,,,,,,0.384,,,,,,,
S106303A-01,,Doushantuo,dolostone,,-7.78,,,,,,,0.711022,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,1.606,,,,,,,
S106306B-01,,Doushantuo,dolostone,,-8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.575,,,,,,,
S106308-01,,Doushantuo,dolostone,,-8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.624,,,,,,,
S106309-01,,Doushantuo,dolostone,,-8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.021,,,,,,,
S106401-01,,Doushantuo,dolostone,,-7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.520,,,,,,,
S106403-01,,Doushantuo,dolostone,,-8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.991,,,,,,,
S106404-01,,Doushantuo,dolostone,,-7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.013,,,,,,,
S106407-01,,Doushantuo,dolostone,,-8.30,,,,,,,0.711134,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,3.293,,,,,,,
S106408-01,,Doushantuo,dolostone,,-8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.320,,,,,,,
S106410-01,,Doushantuo,dolostone,,-8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.049,,,,,,,
S106501-01,,Doushantuo,dolostone,,-7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.857,,,,,,,
S106502-01,,Doushantuo,dolostone,,-7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.198,,,,,,,
S106503-01,,Doushantuo,dolostone,,-7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.943,,,,,,,
S106504-01,,Doushantuo,dolostone,,-7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.167,,,,,,,
S106504-02,,Doushantuo,dolostone,,-7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.399,,,,,,,
S106505-01,,Doushantuo,dolostone,,-6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.939,,,,,,,
S106506-01,,Doushantuo,dolostone,,-6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.299,,,,,,,
S106506-02,,Doushantuo,dolostone,,-6.65,,,,,,,0.710636,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,3.595,,,,,,,
S106507-01,,Doushantuo,dolostone,,-6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.481,,,,,,,
S106508-01,,Doushantuo,dolostone,,-6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.181,,,,,,,
S106508-02,,Doushantuo,dolostone,,-7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.557,,,,,,,
S106509-01,,Doushantuo,dolostone,,-7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.268,,,,,,,
S106601-01,,Doushantuo,dolostone,,-6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.632,,,,,,,
S106601-02,,Doushantuo,dolostone,,-5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.626,,,,,,,
S106602-01,,Doushantuo,dolostone,,-5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.311,,,,,,,
S106603-01,,Doushantuo,dolostone,,-5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.338,,,,,,,
S106603-02,,Doushantuo,dolostone,,-5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.725,,,,,,,
S106604-01,,Doushantuo,dolostone,,-5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.112,,,,,,,
S106604-02,,Doushantuo,dolostone,,-4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.562,,,,,,,
S106605-01,,Doushantuo,dolostone,,-4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.212,,,,,,,
S106606-01,,Doushantuo,dolostone,,-4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.176,,,,,,,
S106606-02,,Doushantuo,dolostone,,-4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.131,,,,,,,
S106801-01,,Doushantuo,limestone,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.537,,,,,,,
S106805-01,,Doushantuo,dolostone,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.255,,,,,,,
S107001-01,,Doushantuo,dolostone,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.581,,,,,,,
S107101-01,,Doushantuo,dolostone,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.093,,,,,,,
S107201-01,,Doushantuo,limestone,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.577,,,,,,,
S107302-01,,Doushantuo,dolostone,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.192,,,,,,,
S107401-01,,Doushantuo,dolostone,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.781,,,,,,,
S107403-01,,Doushantuo,dolostone,,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.849,,,,,,,
S107504-01,,Doushantuo,dolostone,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.091,,,,,,,
S107603-01,,Doushantuo,dolostone,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.008,,,,,,,
S107607-01,,Doushantuo,dolostone,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.031,,,,,,,
S107701-01,,Doushantuo,dolostone,,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.302,,,,,,,
S107703-01,,Doushantuo,dolostone,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.343,,,,,,,
S107703-02,,Doushantuo,dolostone,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.450,,,,,,,
S107706-01,,Doushantuo,dolostone,,4.83,,,,,,,0.708771,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,3.332,,,,,,,
S107803-01,,Doushantuo,dolostone,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.977,,,,,,,
S107804-01,,Doushantuo,dolostone,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,,,,,,,
S107901-01,,Doushantuo,dolostone,,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.709,,,,,,,
S107903-01,,Doushantuo,dolostone,,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.473,,,,,,,
S107903-02,,Doushantuo,dolostone,,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.327,,,,,,,
S107904-01,,Doushantuo,dolostone,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.219,,,,,,,
S107905-01,,Doushantuo,dolostone,,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.393,,,,,,,
S107906-01,,Doushantuo,dolostone,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.925,,,,,,,
S107906-02,,Doushantuo,dolostone,,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.065,,,,,,,
S108001-01,,Doushantuo,dolostone,,4.73,,,,,,,0.708837,,,,,,,,,,,,,,,,,,0.450,,,,,,,,,,,,,,,,,,,,,,,,,1.032,,,,,,,
S108001-02,,Doushantuo,dolostone,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.344,,,,,,,
S108003-01,,Doushantuo,dolostone,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.194,,,,,,,
S108004-05-01,,Doushantuo,dolostone,,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.501,,,,,,,
S108004-05-02,,Doushantuo,dolostone,,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.607,,,,,,,
S108006-01,,Doushantuo,dolostone,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.757,,,,,,,
S108101A-01,,Doushantuo,dolostone,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.111,,,,,,,
S108102B1-01,,Doushantuo,dolostone,,5.45,,,,,,,0.708881,,,,,,,,,,,,,,,,,,0.430,,,,,,,,,,,,,,,,,,,,,,,,,0.829,,,,,,,
S108102B1-02,,Doushantuo,dolostone,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.009,,,,,,,
S108102B2-01,,Doushantuo,dolostone,,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944,,,,,,,
S108104A1-01,,Doushantuo,dolostone,,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.446,,,,,,,
S108104A2-01,,Doushantuo,dolostone,,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.821,,,,,,,
S108104B-01,,Doushantuo,dolostone,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779,,,,,,,
S108104B-02,,Doushantuo,dolostone,,5.24,,,,,,,0.70875,,,,,,,,,,,,,,,,,,0.460,,,,,,,,,,,,,,,,,,,,,,,,,0.724,,,,,,,
S108104B-03,,Doushantuo,dolostone,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,,,,,,,
S108201-01,,Doushantuo,dolostone,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.527,,,,,,,
S108202-01,,Doushantuo,dolostone,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.742,,,,,,,
S108204A-01,,Doushantuo,dolostone,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,
S108206-01,,Doushantuo,dolostone,,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.166,,,,,,,
S108206-02,,Doushantuo,dolostone,,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167,,,,,,,
S108207-01,,Doushantuo,dolostone,,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.209,,,,,,,
S108208-01,,Doushantuo,dolostone,,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,,,,,,,
S108208-02,,Doushantuo,dolostone,,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.475,,,,,,,
S108210-01,,Doushantuo,dolostone,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929,,,,,,,
S108301-01,,Doushantuo,dolostone,,4.61,,,,,,,0.708673,,,,,,,,,,,,,,,,,,0.440,,,,,,,,,,,,,,,,,,,,,,,,,0.580,,,,,,,
S108301-02,,Doushantuo,dolostone,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001,,,,,,,
S108401-01,,Doushantuo,dolostone,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.234,,,,,,,
S108409-01,,Doushantuo,dolostone,,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614,,,,,,,
S108501-01,,Doushantuo,dolostone,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,
S108504A-01,,Doushantuo,dolostone,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.147,,,,,,,
S108504A-02,,Doushantuo,dolostone,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.330,,,,,,,
S108504A-03,,Doushantuo,dolostone,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.028,,,,,,,
S108504B-01,,Doushantuo,dolostone,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966,,,,,,,
S108601-01,,Doushantuo,dolostone,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874,,,,,,,
S108602-01,,Doushantuo,dolostone,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.831,,,,,,,
S108602-02,,Doushantuo,dolostone,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813,,,,,,,
S108602-03,,Doushantuo,dolostone,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.950,,,,,,,
S108602-04,,Doushantuo,dolostone,,4.52,,,,,,,0.708726,,,,,,,,,,,,,,,,,,0.640,,,,,,,,,,,,,,,,,,,,,,,,,0.778,,,,,,,
S108504B-01,,Doushantuo,dolostone,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.782,,,,,,,
S108702A-01,,Doushantuo,dolostone,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,,,,,,,
S108702B-01,,Doushantuo,dolostone,,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888,,,,,,,
S108703-01,,Doushantuo,dolostone,,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921,,,,,,,
S108703-02,,Doushantuo,dolostone,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721,,,,,,,
S108704-01,,Doushantuo,dolostone,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815,,,,,,,
S108704-02,,Doushantuo,dolostone,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691,,,,,,,
S108805-01,,Doushantuo,dolostone,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716,,,,,,,
S108805-02,,Doushantuo,dolostone,,5.50,,,,,,,0.708404,,,,,,,,,,,,,,,,,,0.290,,,,,,,,,,,,,,,,,,,,,,,,,0.643,,,,,,,
S108805-03,,Doushantuo,dolostone,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,,,,,,,
S108806B-01,,Doushantuo,dolostone,,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.442,,,,,,,
S108806B-02,,Doushantuo,dolostone,,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.281,,,,,,,
S108901-01,,Doushantuo,dolostone,,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.240,,,,,,,
S108901-02,,Doushantuo,dolostone,,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.169,,,,,,,
S108901-03,,Doushantuo,dolostone,,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.245,,,,,,,
S108902A-01,,Doushantuo,dolostone,,5.83,,,,,,,0.708465,,,,,,,,,,,,,,,,,,0.280,,,,,,,,,,,,,,,,,,,,,,,,,0.714,,,,,,,
S109004A-01,,Doushantuo,dolostone,,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977,,,,,,,
S109104A-01,,Doushantuo,dolostone,,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087,,,,,,,
S109108-01,,Doushantuo,dolostone,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.916,,,,,,,
S109108-02,,Doushantuo,dolostone,,3.86,,,,,,,0.708085,,,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,,,,,,,,,,,0.632,,,,,,,
S109109-01,,Doushantuo,dolostone,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505,,,,,,,
S109109-02,,Doushantuo,dolostone,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,,,,,,,
S109109-03,,Doushantuo,dolostone,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709,,,,,,,
S109202A-01,,Doushantuo,dolostone,,3.11,,,,,,,0.708052,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.949,,,,,,,
S109202A-02,,Doushantuo,dolostone,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953,,,,,,,
S109203-01,,Doushantuo,dolostone,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.670,,,,,,,
S109203-02,,Doushantuo,dolostone,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.741,,,,,,,
S109301-01,,Doushantuo,dolostone,,-1.32,,,,,,,0.707988,,,,,,,,,,,,,,,,,,0.390,,,,,,,,,,,,,,,,,,,,,,,,,0.680,,,,,,,
S109301-02,,Doushantuo,dolostone,,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864,,,,,,,
S109302B-01,,Doushantuo,dolostone,,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721,,,,,,,
S109302B-02,,Doushantuo,dolostone,,-1.02,,,,,,,0.707784,,,,,,,,,,,,,,,,,,0.490,,,,,,,,,,,,,,,,,,,,,,,,,0.633,,,,,,,
S109303-01,,Doushantuo,dolostone,,-1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646,,,,,,,
S109303-02,,Doushantuo,dolostone,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,,,,,,,
S109408-01,,Doushantuo,dolostone,,-3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.795,,,,,,,
S109502B-01,,Doushantuo,dolostone,,-5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.361,,,,,,,
S109510-01,,Doushantuo,dolostone,,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087,,,,,,,
S109511-02,,Doushantuo,dolostone,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977,,,,,,,
S109511-01,,Doushantuo,dolostone,,-2.00,,,,,,,0.708214,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.987,,,,,,,
S109511-03,,Doushantuo,dolostone,,-2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.025,,,,,,,
S109514-01,,Doushantuo,dolostone,,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.859,,,,,,,
S109514-02,,Doushantuo,dolostone,,-1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.180,,,,,,,
S109604-01,,Doushantuo,dolostone,,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001,,,,,,,
S109608-01,,Doushantuo,dolostone,,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.287,,,,,,,
S109611-01,,Doushantuo,dolostone,,-4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.463,,,,,,,
S109611-02,,Doushantuo,dolostone,,-4.12,,,,,,,0.708129,,,,,,,,,,,,,,,,,,0.400,,,,,,,,,,,,,,,,,,,,,,,,,1.136,,,,,,,
S109612-01,,Doushantuo,dolostone,,-1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.573,,,,,,,
S109613-01,,Doushantuo,dolostone,,-1.37,,,,,,,0.708717,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.932,,,,,,,
S109615-01,,Doushantuo,dolostone,,-0.54,,,,,,,0.708877,,,,,,,,,,,,,,,,,,0.360,,,,,,,,,,,,,,,,,,,,,,,,,1.494,,,,,,,
S109618-01,,Doushantuo,dolostone,,-1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299,,,,,,,
S109619B-01,,Doushantuo,dolostone,,-2.77,,,,,,,0.708667,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.923,,,,,,,
S109704-01,,Doushantuo,dolostone,,-1.96,,,,,,,0.708524,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.973,,,,,,,
S109712-01,,Doushantuo,dolostone,,-2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.244,,,,,,,
S109802-01,,Doushantuo,dolostone,,-1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237,,,,,,,
S109806A-01,,Doushantuo,dolostone,,-0.67,,,,,,,0.708608,,,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,,,,,,,,,,,0.869,,,,,,,
S109807-01,,Doushantuo,dolostone,,-3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.520,,,,,,,
S109901B-01,,Doushantuo,dolostone,,-4.19,,,,,,,0.708509,,,,,,,,,,,,,,,,,,0.380,,,,,,,,,,,,,,,,,,,,,,,,,0.532,,,,,,,
S109904-01,,Doushantuo,dolostone,,-3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,,,,,,,
